Primary_Key,ProdCat1,ProdCat2,GROSS_TURNOVER,INVOICE_NUMBER,Cluster
100159_Customer Group_556,Cloud and Hosting Services,Platform as a Service (PaaS),3772.8868,5,5
100159_Customer Group_556,Communication Tools,Virtual Event Hosting,431.1296,1,5
100159_Customer Group_556,Communication Tools,Web Conferencing Services,283.9368,1,5
100159_Customer Group_556,Community and Social Platforms,Professional Networking Platforms,10291.7232,1,5
100159_Customer Group_556,Customer Support and Management,Customer Support Services,190.9544,1,5
100159_Customer Group_556,Data and Analytics,Big Data Solutions,9215.6068,7,5
100159_Customer Group_556,Data and Analytics,Data Analytics Services,1226.8116,1,5
100159_Customer Group_556,Data and Analytics,Predictive Analytics,1182.5529000000001,4,5
100159_Customer Group_556,Devices and Accessories,Data Center Equipment - Rack Solutions,392.3899,1,5
100159_Customer Group_556,Devices and Accessories,Data Center Equipment - Servers,570.3116,4,5
100159_Customer Group_556,Devices and Accessories,Network switches,1169.85,1,5
100159_Customer Group_556,Digital Transformation Services,Cloud-native Development,693.576,1,5
100159_Customer Group_556,Digital Transformation Services,Remote Work Solutions,28965.759,5,5
100159_Customer Group_556,Gaming and eSports,Live Streaming Services,434.896,2,5
100159_Customer Group_556,IoT and Smart Solutions,Fleet Management Solutions,1044.6306,2,5
100159_Customer Group_556,IoT and Smart Solutions,Internet of Things (IoT) Solutions,1916.8026,1,5
100159_Customer Group_556,IoT and Smart Solutions,Smart City Solutions,9331.7596,28,5
100159_Customer Group_556,Mobile Services,Family Mobile Plans,155.64690000000002,2,5
100159_Customer Group_556,Mobile Services,GPS Tracking Services,5713.3662,2,5
100159_Customer Group_556,Mobile Services,Mobile Device Management (MDM),21254.2013,42,5
100159_Customer Group_556,Mobile Services,Mobile Plans (Postpaid),1354.69,1,5
100159_Customer Group_556,Mobile Services,Mobile Plans (Prepaid),12452.5067,14,5
100159_Customer Group_556,Network and Infrastructure,Carrier Services,102497.548,37,5
100159_Customer Group_556,Network and Infrastructure,Network Consulting Services,4162.9893,3,5
100159_Customer Group_556,Network and Infrastructure,Network Design Services,1857.8642,4,5
100159_Customer Group_556,Network and Infrastructure,Network Equipment Sales,772.6217,5,5
100159_Customer Group_556,Network and Infrastructure,Network Infrastructure Services,96312.8412,34,5
100159_Customer Group_556,Network and Infrastructure,Wholesale Telecom Services,14846.929,16,5
100159_Customer Group_556,Security and Privacy,Access Control Solutions,99901.7651,23,5
100159_Customer Group_556,Security and Privacy,Cybersecurity Solutions,20092.1167,33,5
100159_Customer Group_556,Security and Privacy,Digital ID Services,242504.4325,14,5
100159_Customer Group_556,Security and Privacy,Network Security Solutions,3533.6394999999998,9,5
100159_Customer Group_556,Television and Entertainment,Educational TV Channels,2354.91,5,5
100159_Customer Group_556,Television and Entertainment,Kids Entertainment Packages,1921.3562,5,5
100159_Customer Group_556,Television and Entertainment,Local TV Channels,4814.8706,2,5
100159_Customer Group_556,Television and Entertainment,Mobile TV Services,19994.408199999998,29,5
100159_Customer Group_556,Television and Entertainment,Movie Subscription Packages,4226.07,4,5
100159_Customer Group_556,Television and Entertainment,Over-the-Top (OTT) Services,83164.1779,54,5
100159_Customer Group_556,Television and Entertainment,Premium TV Channels,1210.6617,6,5
100159_Customer Group_556,Television and Entertainment,Smart TV Services,1366.0258000000001,11,5
100185_Customer Group_209,Network and Infrastructure,Network Equipment Sales,1038.0274,1,6
100185_Customer Group_209,Television and Entertainment,Educational TV Channels,628.7463,2,6
100185_Customer Group_209,Television and Entertainment,Kids Entertainment Packages,284.832,1,6
100246_Customer Group_4268,Television and Entertainment,News Subscription Packages,83415.0,1,0
100268_Customer Group_2932,Television and Entertainment,Smart TV Services,53.9903,1,0
100290_Customer Group_1428,Business Solutions,Digital Workspace Solutions,757.6704,1,4
100290_Customer Group_1428,Cloud and Hosting Services,Application Hosting Services,425.752,2,4
100290_Customer Group_1428,Data and Analytics,Big Data Solutions,199.5,1,4
100290_Customer Group_1428,Digital Transformation Services,Remote Work Solutions,2504.07,4,4
100290_Customer Group_1428,Mobile Services,Family Mobile Plans,314.5907,1,4
100290_Customer Group_1428,Mobile Services,Mobile Plans (Prepaid),145.6935,1,4
100290_Customer Group_1428,Network and Infrastructure,Carrier Services,5386.9824,2,4
100290_Customer Group_1428,Security and Privacy,Access Control Solutions,663.282,1,4
100290_Customer Group_1428,Security and Privacy,Cybersecurity Solutions,2455.2,2,4
100290_Customer Group_1428,Television and Entertainment,Smart TV Services,17.8513,1,4
100318_Customer Group_1429,Business Solutions,Managed IT Services,606.9392,1,0
100318_Customer Group_1429,Data and Analytics,Predictive Analytics,25.116,1,0
100318_Customer Group_1429,Network and Infrastructure,Network Equipment Sales,753.4752,2,0
100318_Customer Group_1429,Television and Entertainment,Educational TV Channels,1565.9686,3,0
100318_Customer Group_1429,Television and Entertainment,Movie Subscription Packages,145.6067,1,0
100318_Customer Group_1429,Television and Entertainment,Premium TV Channels,820.9497,3,0
100332_Customer Group_2671,Broadband and Internet Services,5G Services,401.9808,1,6
100332_Customer Group_2671,Broadband and Internet Services,Broadband Internet (Fiber),950.9325,1,6
100332_Customer Group_2671,Devices and Accessories,Data Center Equipment - Rack Solutions,3664.724,1,6
100332_Customer Group_2671,Network and Infrastructure,Network Design Services,40.6,1,6
100332_Customer Group_2671,Network and Infrastructure,Network Equipment Sales,524.3355,1,6
100332_Customer Group_2671,Network and Infrastructure,Wholesale Telecom Services,19561.3698,3,6
100332_Customer Group_2671,Television and Entertainment,Educational TV Channels,1458.1682,1,6
100332_Customer Group_2671,Television and Entertainment,Mobile TV Services,110.3492,1,6
100353_Customer Group_1048,Broadband and Internet Services,5G Services,612.1416,1,0
100353_Customer Group_1048,Business Solutions,Digital Workspace Solutions,582.2674,2,0
100353_Customer Group_1048,Cloud and Hosting Services,Platform as a Service (PaaS),589.7358,1,0
100353_Customer Group_1048,Data and Analytics,Predictive Analytics,101.0712,2,0
100353_Customer Group_1048,Devices and Accessories,Data Center Equipment - Rack Solutions,415.3455,1,0
100353_Customer Group_1048,Digital Transformation Services,Cloud-native Development,354.3965,2,0
100353_Customer Group_1048,Mobile Services,GPS Tracking Services,2228.6745,1,0
100353_Customer Group_1048,Mobile Services,Mobile Plans (Prepaid),626.5979,2,0
100353_Customer Group_1048,Network and Infrastructure,Network Design Services,242.0892,2,0
100353_Customer Group_1048,Network and Infrastructure,Network Equipment Sales,32.989,1,0
100353_Customer Group_1048,Network and Infrastructure,Network Monitoring Services,1488.0,1,0
100353_Customer Group_1048,Network and Infrastructure,Wholesale Telecom Services,117.6495,1,0
100353_Customer Group_1048,Television and Entertainment,Educational TV Channels,1504.9958000000001,5,0
100353_Customer Group_1048,Television and Entertainment,Kids Entertainment Packages,1313.2762,5,0
100353_Customer Group_1048,Television and Entertainment,Mobile TV Services,1992.7998,6,0
100353_Customer Group_1048,Television and Entertainment,Movie Subscription Packages,904.1145,1,0
100353_Customer Group_1048,Television and Entertainment,Premium TV Channels,404.2676,1,0
100455_Customer Group_1820,Broadband and Internet Services,4G Services,1579.2335,3,2
100455_Customer Group_1820,Devices and Accessories,Enterprise networking equipment,2438.2074,2,2
100455_Customer Group_1820,Mobile Services,Mobile Plans (Postpaid),29348.8956,12,2
100455_Customer Group_1820,Network and Infrastructure,Wholesale Telecom Services,89.6994,1,2
100455_Customer Group_1820,Television and Entertainment,Mobile TV Services,133.28300000000002,1,2
100470_Customer Group_1430,Digital Transformation Services,Cloud Strategy and Migration,162.25,1,6
100470_Customer Group_1430,Network and Infrastructure,Network Equipment Sales,60.06,1,6
100470_Customer Group_1430,Network and Infrastructure,Wholesale Telecom Services,6087.0228,4,6
100470_Customer Group_1430,Television and Entertainment,Educational TV Channels,120.7128,1,6
100470_Customer Group_1430,Television and Entertainment,Premium TV Channels,656.2092,2,6
100516_Customer Group_1009,Business Solutions,Digital Workspace Solutions,8823.3085,3,4
100516_Customer Group_1009,Cloud and Hosting Services,Application Hosting Services,606.7042,2,4
100516_Customer Group_1009,Data and Analytics,Predictive Analytics,2471.3435,2,4
100516_Customer Group_1009,Devices and Accessories,Enterprise networking equipment,638.1405,1,4
100516_Customer Group_1009,Devices and Accessories,Network switches,112.0797,1,4
100516_Customer Group_1009,IoT and Smart Solutions,Environmental Monitoring Services,8117.6355,4,4
100516_Customer Group_1009,Mobile Services,Family Mobile Plans,2425.4755,4,4
100516_Customer Group_1009,Mobile Services,GPS Tracking Services,1835.2437,1,4
100516_Customer Group_1009,Mobile Services,Mobile Device Management (MDM),2298.5405,2,4
100516_Customer Group_1009,Mobile Services,Mobile Plans (Postpaid),2292.9919,1,4
100516_Customer Group_1009,Mobile Services,Mobile Plans (Prepaid),203.8176,1,4
100516_Customer Group_1009,Network and Infrastructure,Network Consulting Services,986.3255999999999,1,4
100516_Customer Group_1009,Network and Infrastructure,Wholesale Telecom Services,3664.7364,2,4
100516_Customer Group_1009,Security and Privacy,Cybersecurity Solutions,1762.9074,2,4
100516_Customer Group_1009,Security and Privacy,Network Security Solutions,55.8089,1,4
100516_Customer Group_1009,Television and Entertainment,Educational TV Channels,485.30999999999995,1,4
100516_Customer Group_1009,Television and Entertainment,Mobile TV Services,83.7168,1,4
100516_Customer Group_1009,Television and Entertainment,Premium TV Channels,41.536,1,4
100524_Customer Group_1903,Cloud and Hosting Services,Application Hosting Services,548.683,1,7
100524_Customer Group_1903,Cloud and Hosting Services,Cloud PBX Services,8232.8674,2,7
100524_Customer Group_1903,Data and Analytics,Predictive Analytics,497.26800000000003,2,7
100524_Customer Group_1903,IoT and Smart Solutions,Smart City Solutions,846.7746999999999,2,7
100524_Customer Group_1903,Mobile Services,Mobile Device Management (MDM),463.54,1,7
100524_Customer Group_1903,Network and Infrastructure,Network Design Services,274.92,1,7
100524_Customer Group_1903,Network and Infrastructure,Network Infrastructure Services,2110.6769999999997,2,7
100524_Customer Group_1903,Network and Infrastructure,Wholesale Telecom Services,706.8163,3,7
100524_Customer Group_1903,Television and Entertainment,Mobile TV Services,5223.586,8,7
100524_Customer Group_1903,Television and Entertainment,Smart TV Services,248.9528,2,7
100537_Customer Group_562,Broadband and Internet Services,4G Services,1412.8361,2,1
100537_Customer Group_562,Broadband and Internet Services,Broadband Internet (Fiber),17334.7703,6,1
100537_Customer Group_562,Business Solutions,Managed IT Services,2017.8182,3,1
100537_Customer Group_562,Business Solutions,Workforce Management Solutions,2926.2002,3,1
100537_Customer Group_562,Cloud and Hosting Services,Private Cloud Services,494.76,1,1
100537_Customer Group_562,Digital Transformation Services,Cloud and Hosting Services,414.3852,1,1
100537_Customer Group_562,Mobile Services,Mobile Plans (Postpaid),2521.044,1,1
100537_Customer Group_562,Television and Entertainment,News Subscription Packages,2859.1486,2,1
100537_Customer Group_562,Television and Entertainment,Premium TV Channels,1439.1056,3,1
100608_Customer Group_1049,Devices and Accessories,Data Center Equipment - Rack Solutions,100.3408,1,0
100608_Customer Group_1049,Mobile Services,Mobile Device Management (MDM),67.4016,1,0
100608_Customer Group_1049,Mobile Services,Mobile Plans (Prepaid),482.99,1,0
100608_Customer Group_1049,Television and Entertainment,Educational TV Channels,249.0075,1,0
100608_Customer Group_1049,Television and Entertainment,Mobile TV Services,875.4802000000001,2,0
100608_Customer Group_1049,Television and Entertainment,Premium TV Channels,23.5704,1,0
100624_Customer Group_1822,Broadband and Internet Services,5G Services,3870.3463,2,0
100624_Customer Group_1822,Cloud and Hosting Services,Application Hosting Services,311.223,1,0
100624_Customer Group_1822,Cloud and Hosting Services,Cloud PBX Services,1078.9679,1,0
100624_Customer Group_1822,Cloud and Hosting Services,Hybrid Cloud Services,250.164,1,0
100624_Customer Group_1822,Cloud and Hosting Services,Platform as a Service (PaaS),495.73109999999997,2,0
100624_Customer Group_1822,Community and Social Platforms,Professional Networking Platforms,675.6264,1,0
100624_Customer Group_1822,Devices and Accessories,Data Center Equipment - Servers,817.4780000000001,2,0
100624_Customer Group_1822,IoT and Smart Solutions,Smart City Solutions,999.4649,1,0
100624_Customer Group_1822,Mobile Services,Mobile Plans (Prepaid),128.2463,1,0
100624_Customer Group_1822,Network and Infrastructure,Network Design Services,396.5335,2,0
100624_Customer Group_1822,Network and Infrastructure,Network Infrastructure Services,2936.1007,3,0
100624_Customer Group_1822,Network and Infrastructure,Network Maintenance Services,293.4756,1,0
100624_Customer Group_1822,Network and Infrastructure,Wholesale Telecom Services,2359.4879,3,0
100624_Customer Group_1822,Security and Privacy,Network Security Solutions,1372.4762,2,0
100624_Customer Group_1822,Television and Entertainment,Educational TV Channels,822.885,1,0
100624_Customer Group_1822,Television and Entertainment,Kids Entertainment Packages,1680.4798,1,0
100624_Customer Group_1822,Television and Entertainment,Mobile TV Services,62.85940000000001,1,0
100624_Customer Group_1822,Television and Entertainment,Movie Subscription Packages,5344.377,2,0
100624_Customer Group_1822,Television and Entertainment,Over-the-Top (OTT) Services,2218.8079000000002,2,0
100624_Customer Group_1822,Television and Entertainment,Premium TV Channels,106.66669999999999,1,0
100624_Customer Group_1822,Television and Entertainment,Smart TV Services,257.6425,3,0
100647_Customer Group_1594,Business Solutions,Workforce Management Solutions,734.4005999999999,4,8
100647_Customer Group_1594,Cloud and Hosting Services,Application Hosting Services,159.51,1,8
100647_Customer Group_1594,Cloud and Hosting Services,Private Cloud Services,888.536,1,8
100647_Customer Group_1594,Data and Analytics,Big Data Solutions,380.628,1,8
100647_Customer Group_1594,Data and Analytics,Data Analytics Services,190.965,1,8
100647_Customer Group_1594,Data and Analytics,Predictive Analytics,542.1006,1,8
100647_Customer Group_1594,Devices and Accessories,Network switches,7106.4581,3,8
100647_Customer Group_1594,Digital Transformation Services,Cloud Strategy and Migration,448.07579999999996,1,8
100647_Customer Group_1594,Digital Transformation Services,Cloud and Hosting Services,3313.3248,1,8
100647_Customer Group_1594,Mobile Services,Mobile Plans (Prepaid),1591.4963,3,8
100647_Customer Group_1594,Network and Infrastructure,Network Design Services,121.0,1,8
100647_Customer Group_1594,Network and Infrastructure,Network Equipment Sales,349.1851,1,8
100647_Customer Group_1594,Security and Privacy,Access Control Solutions,9.41,1,8
100647_Customer Group_1594,Television and Entertainment,Mobile TV Services,8.8298,1,8
100647_Customer Group_1594,Television and Entertainment,Premium TV Channels,299.7,1,8
100669_Customer Group_209,Cloud and Hosting Services,Data Backup Services,152.5425,2,4
100669_Customer Group_209,Communication Tools,Virtual Event Hosting,497.1839,3,4
100669_Customer Group_209,IoT and Smart Solutions,Smart City Solutions,621.4728,2,4
100669_Customer Group_209,Mobile Services,Mobile Device Management (MDM),534.9514,3,4
100669_Customer Group_209,Network and Infrastructure,Carrier Services,201.3995,1,4
100669_Customer Group_209,Security and Privacy,Cybersecurity Solutions,69.696,1,4
100669_Customer Group_209,Security and Privacy,Network Security Solutions,28.782,1,4
100669_Customer Group_209,Television and Entertainment,Over-the-Top (OTT) Services,289.7296,3,4
100669_Customer Group_209,Television and Entertainment,Smart TV Services,20.0152,3,4
100724_Customer Group_2152,Broadband and Internet Services,Broadband Internet (Fiber),10072.5694,1,6
100724_Customer Group_2152,Network and Infrastructure,Network Monitoring Services,10811.6078,2,6
100788_Customer Group_1051,Business Solutions,Contact Center Solutions,1038.328,1,5
100788_Customer Group_1051,Business Solutions,Digital Workspace Solutions,682.1052999999999,1,5
100788_Customer Group_1051,Cloud and Hosting Services,Application Hosting Services,3029.7475000000004,2,5
100788_Customer Group_1051,Data and Analytics,Predictive Analytics,164.4674,1,5
100788_Customer Group_1051,IoT and Smart Solutions,Smart City Solutions,99.9224,1,5
100788_Customer Group_1051,Mobile Services,Mobile Device Management (MDM),184.8368,1,5
100788_Customer Group_1051,Network and Infrastructure,Carrier Services,2516.25,2,5
100788_Customer Group_1051,Network and Infrastructure,Network Consulting Services,3188.4103999999998,2,5
100788_Customer Group_1051,Network and Infrastructure,Network Monitoring Services,1766.7,1,5
100788_Customer Group_1051,Network and Infrastructure,Wholesale Telecom Services,267.3015,1,5
100788_Customer Group_1051,Security and Privacy,Access Control Solutions,287.9136,1,5
100788_Customer Group_1051,Security and Privacy,Cybersecurity Solutions,2200.52,1,5
100788_Customer Group_1051,Security and Privacy,Digital ID Services,9340.2168,1,5
100788_Customer Group_1051,Security and Privacy,Network Security Solutions,73.0688,1,5
100788_Customer Group_1051,Television and Entertainment,Mobile TV Services,865.8106,3,5
100788_Customer Group_1051,Television and Entertainment,Over-the-Top (OTT) Services,292.2273,1,5
100790_Customer Group_1714,Data and Analytics,Data Analytics Services,780.5194,1,6
100790_Customer Group_1714,Network and Infrastructure,Wholesale Telecom Services,2337.1077,2,6
100790_Customer Group_1714,Security and Privacy,Network Security Solutions,478.8564,2,6
100794_Customer Group_209,Broadband and Internet Services,4G Services,2757.4031,1,1
100794_Customer Group_209,Business Solutions,Digital Workspace Solutions,114.6446,1,1
100794_Customer Group_209,Digital Transformation Services,Cloud and Hosting Services,1118.295,1,1
100794_Customer Group_209,Mobile Services,Mobile Plans (Postpaid),626.5056,1,1
100794_Customer Group_209,Television and Entertainment,News Subscription Packages,1268.945,1,1
100856_Customer Group_1214,Business Solutions,Digital Workspace Solutions,155.555,1,6
100856_Customer Group_1214,Business Solutions,Workforce Management Solutions,64.943,1,6
100856_Customer Group_1214,Data and Analytics,Data Analytics Services,277.1736,3,6
100856_Customer Group_1214,Data and Analytics,Predictive Analytics,507.55719999999997,9,6
100856_Customer Group_1214,Mobile Services,Family Mobile Plans,390.1549,4,6
100856_Customer Group_1214,Mobile Services,Mobile Plans (Prepaid),92.68,1,6
100856_Customer Group_1214,Network and Infrastructure,Wholesale Telecom Services,3521.252,3,6
100856_Customer Group_1214,Security and Privacy,Cybersecurity Solutions,391.39300000000003,3,6
100906_Customer Group_1431,Business Solutions,Managed IT Services,157.6614,1,6
100906_Customer Group_1431,Digital Transformation Services,Cloud Strategy and Migration,17.7388,1,6
100906_Customer Group_1431,Network and Infrastructure,Network Design Services,38.43,1,6
100906_Customer Group_1431,Network and Infrastructure,Network Equipment Sales,250.56,1,6
100906_Customer Group_1431,Network and Infrastructure,Wholesale Telecom Services,144.0,1,6
100906_Customer Group_1431,Television and Entertainment,Educational TV Channels,215.82,1,6
100906_Customer Group_1431,Television and Entertainment,Kids Entertainment Packages,114.885,1,6
100906_Customer Group_1431,Television and Entertainment,Mobile TV Services,12.74,1,6
100963_Customer Group_2036,Cloud and Hosting Services,Application Hosting Services,845.6685,2,2
100963_Customer Group_2036,Gaming and eSports,Live Streaming Services,4042.5,2,2
100963_Customer Group_2036,Mobile Services,Mobile Device Management (MDM),3254.2034,1,2
100975_Customer Group_1432,Business Solutions,Managed IT Services,757.0702,1,4
100975_Customer Group_1432,Digital Transformation Services,Cloud-native Development,620.4802999999999,2,4
100975_Customer Group_1432,Network and Infrastructure,Network Equipment Sales,215.5922,1,4
100975_Customer Group_1432,Television and Entertainment,Educational TV Channels,716.9941,2,4
100975_Customer Group_1432,Television and Entertainment,Movie Subscription Packages,220.8466,1,4
100991_Customer Group_2451,Business Solutions,Workforce Management Solutions,2182.2139,4,3
100991_Customer Group_2451,Cloud and Hosting Services,Application Hosting Services,66.975,1,3
100991_Customer Group_2451,Communication Tools,Web Conferencing Services,205.5505,2,3
100991_Customer Group_2451,Customer Support and Management,Customer Support Services,496.032,2,3
100991_Customer Group_2451,Television and Entertainment,Premium TV Channels,167.811,1,3
101005_Customer Group_180,Broadband and Internet Services,5G Services,10039.3886,3,4
101005_Customer Group_180,Business Solutions,Workforce Management Solutions,154.4595,1,4
101005_Customer Group_180,Cloud and Hosting Services,Application Hosting Services,322.1601,1,4
101005_Customer Group_180,Data and Analytics,Big Data Solutions,498.2985,1,4
101005_Customer Group_180,Data and Analytics,Data Analytics Services,125.9964,1,4
101005_Customer Group_180,Devices and Accessories,Enterprise networking equipment,6086.0439,2,4
101005_Customer Group_180,Digital Transformation Services,Cloud Strategy and Migration,862.6072,1,4
101005_Customer Group_180,Digital Transformation Services,Cloud-native Development,275.64,1,4
101005_Customer Group_180,IoT and Smart Solutions,Fleet Management Solutions,876.962,1,4
101005_Customer Group_180,Mobile Services,Mobile Plans (Postpaid),10589.2674,3,4
101005_Customer Group_180,Mobile Services,Mobile Plans (Prepaid),4631.9183,7,4
101005_Customer Group_180,Network and Infrastructure,Network Design Services,716.4288,2,4
101005_Customer Group_180,Network and Infrastructure,Network Equipment Sales,8173.2666,6,4
101005_Customer Group_180,Network and Infrastructure,Wholesale Telecom Services,2364.9365,2,4
101005_Customer Group_180,Television and Entertainment,Educational TV Channels,1067.163,3,4
101005_Customer Group_180,Television and Entertainment,Kids Entertainment Packages,676.0983,2,4
101005_Customer Group_180,Television and Entertainment,Movie Subscription Packages,6159.723,7,4
101024_Customer Group_1507,Broadband and Internet Services,4G Services,4685.9233,4,4
101024_Customer Group_1507,Broadband and Internet Services,5G Services,1662.1006,2,4
101024_Customer Group_1507,Business Solutions,Asset Tracking Solutions,2080.0323,2,4
101024_Customer Group_1507,Business Solutions,Contact Center Solutions,3043.9,1,4
101024_Customer Group_1507,Business Solutions,Managed IT Services,254.8584,1,4
101024_Customer Group_1507,Cloud and Hosting Services,Application Hosting Services,1049.5246,2,4
101024_Customer Group_1507,Cloud and Hosting Services,Data Backup Services,214.37,1,4
101024_Customer Group_1507,Cloud and Hosting Services,Private Cloud Services,1401.48,1,4
101024_Customer Group_1507,Communication Tools,Virtual Event Hosting,543.5165000000001,1,4
101024_Customer Group_1507,Communication Tools,Web Conferencing Services,2862.95,4,4
101024_Customer Group_1507,Community and Social Platforms,Professional Networking Platforms,2737.0,2,4
101024_Customer Group_1507,Customer Support and Management,Customer Support Services,250.5494,1,4
101024_Customer Group_1507,Data and Analytics,Data Analytics Services,385.0,1,4
101024_Customer Group_1507,Data and Analytics,Predictive Analytics,139.1588,1,4
101024_Customer Group_1507,Devices and Accessories,Data Center Equipment - Rack Solutions,629.2,1,4
101024_Customer Group_1507,Devices and Accessories,Enterprise networking equipment,385.56,1,4
101024_Customer Group_1507,Digital Transformation Services,Cloud Strategy and Migration,1123.1365,2,4
101024_Customer Group_1507,Digital Transformation Services,Cloud and Hosting Services,11481.3837,4,4
101024_Customer Group_1507,IoT and Smart Solutions,Fleet Management Solutions,1454.7244,1,4
101024_Customer Group_1507,Mobile Services,Family Mobile Plans,435.325,2,4
101024_Customer Group_1507,Mobile Services,Mobile Device Management (MDM),3078.0304,7,4
101024_Customer Group_1507,Mobile Services,Mobile Plans (Postpaid),24682.8244,7,4
101024_Customer Group_1507,Mobile Services,Mobile Plans (Prepaid),131.0904,1,4
101024_Customer Group_1507,Network and Infrastructure,Carrier Services,1197.1,2,4
101024_Customer Group_1507,Network and Infrastructure,Network Design Services,1565.2337,3,4
101024_Customer Group_1507,Security and Privacy,Access Control Solutions,713.8215,1,4
101024_Customer Group_1507,Security and Privacy,Cybersecurity Solutions,4674.658,6,4
101024_Customer Group_1507,Television and Entertainment,Educational TV Channels,1163.535,2,4
101024_Customer Group_1507,Television and Entertainment,Kids Entertainment Packages,883.82,1,4
101024_Customer Group_1507,Television and Entertainment,Mobile TV Services,712.9651,4,4
101024_Customer Group_1507,Television and Entertainment,News Subscription Packages,1173.942,1,4
101024_Customer Group_1507,Television and Entertainment,Premium TV Channels,271.492,1,4
101024_Customer Group_1507,Television and Entertainment,Sports Subscription Packages,1645.9,1,4
101146_Customer Group_5299,Broadband and Internet Services,4G Services,1961.592,1,0
101146_Customer Group_5299,Devices and Accessories,Data Center Equipment - Storage Solutions,6986.322,1,0
101146_Customer Group_5299,Digital Transformation Services,Cloud and Hosting Services,6267.3141000000005,2,0
101146_Customer Group_5299,Television and Entertainment,News Subscription Packages,80113.2783,6,0
101146_Customer Group_5299,Television and Entertainment,Sports Subscription Packages,2149.3415,1,0
101209_Customer Group_4557,Broadband and Internet Services,5G Services,2510.7551999999996,3,9
101209_Customer Group_4557,Business Solutions,Digital Workspace Solutions,274.646,1,9
101209_Customer Group_4557,Communication Tools,Web Conferencing Services,191.8384,1,9
101209_Customer Group_4557,IoT and Smart Solutions,Environmental Monitoring Services,2346.841,2,9
101209_Customer Group_4557,Mobile Services,Family Mobile Plans,149.2359,2,9
